port,prov,kode_hirarki,geometry,h3
Kangean and Sapeken,"Jawa Timur, Jawa Timur","PR, PR","POLYGON ((-7.071119495441881 115.87319796737695, -7.135058252433577 115.87319354623868, -7.135058252433577 115.9372064537613, -7.134568253185797 115.9372064198796, -7.134568253185797 115.93800641972436, -7.070629494846468 115.93800199889886, -7.070629494846468 115.87399800110116, -7.071119495441881 115.87399796722175, -7.071119495441881 115.87319796737695))","['888db6aecbfffff', '888db6ae23fffff', '888db6a507fffff', '888db6ae43fffff', '888db6a523fffff', '888db6a52dfffff', '888db6a565fffff', '888db6aec1fffff', '888db6a0b3fffff', '888db6a535fffff', '888db6a53dfffff', '888db6a505fffff', '888db6ae1dfffff', '888db6ae53fffff', '888db6aeedfffff', '888db6ae2bfffff', '888db6ae29fffff', '888db6aee3fffff', '888db6aee1fffff', '888db6ae35fffff', '888db6ae15fffff', '888db6ae39fffff', '888db6ae05fffff', '888db6aee7fffff', '888db6ae07fffff', '888db6ae31fffff', '888db6a0b5fffff', '888db6ae25fffff', '888db6ae5dfffff', '888db6ae5bfffff', '888db6a563fffff', '888db6aec5fffff', '888db6ae33fffff', '888db6ae1bfffff', '888db6a0b7fffff', '888db6ae57fffff', '888db6a525fffff', '888db6aec3fffff', '888db6ae19fffff', '888db6ae0dfffff', '888db6ae17fffff', '888db6ae3dfffff', '888db6a521fffff', '888db6a529fffff', '888db6a53bfffff', '888db6a531fffff', '888db6aeebfffff', '888db6aee5fffff', '888db6a52bfffff', '888db6ae59fffff', '888db6a539fffff', '888db6ae4bfffff', '888db6aec7fffff', '888db6ae55fffff', '888db6a0b1fffff', '888db6ae51fffff', '888db6ae11fffff', '888db6ae21fffff', '888db6a537fffff', '888db6ae3bfffff', '888db6ac59fffff', '888db6aec9fffff', '888db6ae89fffff', '888db6ae47fffff', '888db6aea9fffff', '888db6ae63fffff', '888db6ae37fffff', '888db6ae0bfffff', '888db6aee9fffff', '888db6a567fffff', '888db6ae85fffff', '888db6ae09fffff', '888db6ae8dfffff', '888db6aecdfffff', '888db6ae03fffff', '888db6a527fffff', '888db6ae01fffff', '888db6ae13fffff']"
Pulau Sapuka,Sulawesi Selatan,PL,"POLYGON ((-7.052369472690586 118.2025007438657, -7.116308281184921 118.20250515303637, -7.116308281184921 118.13849484696364, -7.052369472690586 118.13849925613431, -7.052369472690586 118.2025007438657))","['889510b629fffff', '889515796dfffff', '889515796bfffff', '889510b617fffff', '8895154cb5fffff', '8895157969fffff', '8895157961fffff', '889510b60dfffff', '889510b643fffff', '889510b619fffff', '889510b601fffff', '8895157921fffff', '889510b651fffff', '889510b667fffff', '8895154ca7fffff', '8895154cb9fffff', '889515792bfffff', '8895154d93fffff', '889515792dfffff', '889510b65bfffff', '889510b613fffff', '889510b659fffff', '889510b657fffff', '8895154cb3fffff', '889510b669fffff', '889510b615fffff', '889510b661fffff', '889510b64dfffff', '8895154cabfffff', '8895157927fffff', '889510b665fffff', '889515790dfffff', '889510b60bfffff', '889510b65dfffff', '8895157905fffff', '889510b609fffff', '8895157923fffff', '8895154ca1fffff', '8895154c87fffff', '889510b605fffff', '8895157901fffff', '889510b64bfffff', '889510b639fffff', '889510b653fffff', '8895154cb1fffff', '8895154c85fffff', '889510b66bfffff', '8895157967fffff', '8895154ca3fffff', '889510b607fffff', '8895157965fffff', '889510b641fffff', '889510b603fffff', '8895154c97fffff', '8895157909fffff', '8895157963fffff', '889510b647fffff', '8895154cbbfffff', '8895157929fffff', '889510b611fffff', '8895154cbdfffff', '889510b61bfffff', '889510b6cdfffff', '889510b63bfffff', '8895154cb7fffff', '889510b6e9fffff', '889510b655fffff', '8895157925fffff', '889510b645fffff', '889510b663fffff', '889510b61dfffff', '889510b649fffff']"
Ujung Jampea,Sulawesi Selatan,PL,"POLYGON ((-7.046099465097379 120.78580031368817, -7.110038290784448 120.7858047188574, -7.110038290784448 120.72179528114259, -7.046099465097379 120.72179968631183, -7.046099465097379 120.78580031368817))","['88951dc441fffff', '88951dc637fffff', '88951dc4cdfffff', '88951dc6a5fffff', '88951dc639fffff', '88951dc419fffff', '88951dc6abfffff', '88951dc68dfffff', '88951dc6a3fffff', '88951dc6a7fffff', '88951dc40bfffff', '88951dc6ebfffff', '88951dc6c7fffff', '88951dc6e1fffff', '88951dc447fffff', '88951dc4c7fffff', '88951dc617fffff', '88951dc689fffff', '88951dc41bfffff', '88951dc455fffff', '88951dc687fffff', '88951dc463fffff', '88951dc615fffff', '88951dc6d5fffff', '88951dc4c5fffff', '88951dc6c5fffff', '88951dc6b9fffff', '88951dc6e9fffff', '88951dc443fffff', '88951dc45bfffff', '88951dc6edfffff', '88951dc403fffff', '88951dc451fffff', '88951dc6a9fffff', '88951dc411fffff', '88951dc45dfffff', '88951dc4c1fffff', '88951dc63bfffff', '88951dc635fffff', '88951dc4c9fffff', '88951dc613fffff', '88951dc6b5fffff', '88951dc417fffff', '88951dc457fffff', '88951dc401fffff', '88951dc683fffff', '88951dc6e3fffff', '88951dc41dfffff', '88951dc633fffff', '88951dc6bdfffff', '88951dc44bfffff', '88951dc68bfffff', '88951dc681fffff', '88951dc69dfffff', '88951dc6e5fffff', '88951dc459fffff', '88951dc409fffff', '88951dc685fffff', '88951dc6adfffff', '88951dc6d7fffff', '88951dc413fffff', '88951dc6a1fffff', '88951dc6e7fffff', '88951dc4cbfffff', '88951dc631fffff', '88951dc40dfffff', '88951dc453fffff', '88951dc415fffff', '88951dc603fffff']"
Jampea,Sulawesi Selatan,PR,"POLYGON ((-7.028819444209104 120.64579913015783, -7.092758317201839 120.64580352430053, -7.092758317201839 120.58179647569946, -7.028819444209104 120.58180086984217, -7.028819444209104 120.64579913015783))","['88951dc2e9fffff', '88951dc2d1fffff', '88951dc299fffff', '88951dc2ddfffff', '88951dc215fffff', '88951dc2ebfffff', '88951dc29dfffff', '88951dc281fffff', '88951dd525fffff', '88951dc285fffff', '88951dc211fffff', '88951dc2c9fffff', '88951dc291fffff', '88951dc2c1fffff', '88951dc2a9fffff', '88951dc2c5fffff', '88951dc2e1fffff', '88951dd523fffff', '88951dc2edfffff', '88951dc2bbfffff', '88951dd567fffff', '88951dc217fffff', '88951dd507fffff', '88951dd531fffff', '88951dc219fffff', '88951dd52dfffff', '88951dc2dbfffff', '88951dc2cbfffff', '88951dc2e3fffff', '88951dc2d3fffff', '88951dc283fffff', '88951dd5e1fffff', '88951dd53bfffff', '88951dc21bfffff', '88951dd539fffff', '88951dc287fffff', '88951dc213fffff', '88951dd527fffff', '88951dd535fffff', '88951dd5adfffff', '88951dc2cdfffff', '88951dc2d9fffff', '88951dd521fffff', '88951dc2d7fffff', '88951dd5e3fffff', '88951dd5e7fffff', '88951dd53dfffff', '88951dc2e7fffff', '88951dc2c3fffff', '88951dc28bfffff', '88951dc233fffff', '88951dd5e5fffff', '88951dc28dfffff', '88951dd533fffff', '88951dc2d5fffff', '88951dd505fffff', '88951dd5ebfffff', '88951dc2c7fffff', '88951dd537fffff', '88951dd52bfffff', '88951dc23bfffff', '88951dc2e5fffff', '88951dc289fffff', '88951dd529fffff', '88951dd5e9fffff', '88951dd517fffff', '88951dc2b9fffff', '88951dd5edfffff', '88951dc295fffff']"
Kalianget,Jawa Timur,PR,"POLYGON ((-7.02472943927332 113.97599885046435, -7.08866832344625 113.9760032419975, -7.08866832344625 113.9119967580025, -7.02472943927332 113.91200114953566, -7.02472943927332 113.97599885046435))","['888db166d9fffff', '888db12931fffff', '888db16619fffff', '888db16639fffff', '888db166edfffff', '888db1661dfffff', '888db16681fffff', '888db16653fffff', '888db16659fffff', '888db166e5fffff', '888db16683fffff', '888db12967fffff', '888db166ebfffff', '888db166c3fffff', '888db166e9fffff', '888db16657fffff', '888db12935fffff', '888db16615fffff', '888db12963fffff', '888db16611fffff', '888db1296dfffff', '888db1292dfffff', '888db1661bfffff', '888db16655fffff', '888db12933fffff', '888db12907fffff', '888db16651fffff', '888db1293dfffff', '888db16685fffff', '888db16617fffff', '888db1668dfffff', '888db1663dfffff', '888db16631fffff', '888db166c1fffff', '888db12937fffff', '888db16613fffff', '888db166e1fffff', '888db166a9fffff', '888db1293bfffff', '888db12921fffff', '888db166bdfffff', '888db1665bfffff', '888db166d7fffff', '888db16633fffff', '888db16607fffff', '888db166d1fffff', '888db166d5fffff', '888db166ddfffff', '888db12925fffff', '888db129e5fffff', '888db129edfffff', '888db12927fffff', '888db12965fffff', '888db166c9fffff', '888db166e7fffff', '888db16603fffff', '888db16687fffff', '888db1660bfffff', '888db166cbfffff', '888db1663bfffff', '888db12961fffff', '888db1668bfffff', '888db166e3fffff', '888db1292bfffff', '888db12923fffff', '888db12939fffff', '888db166c7fffff', '888db12905fffff', '888db166c5fffff', '888db166abfffff', '888db166cdfffff', '888db12929fffff', '888db16689fffff']"
Palabuhanratu and Riung,"Jawa Barat, Nusa Tenggara Timur","PR, PL","POLYGON ((-6.958199359429629 106.51000567573531, -7.022138424573874 106.51000132663488, -7.022138424573874 106.57399867336513, -6.987005377637241 106.57399628363439, -6.987005377637241 106.58595887858715, -6.923066217603646 106.58595455188257, -6.923066217603646 106.52197064811745, -6.958199359429629 106.52196827068981, -6.958199359429629 106.51000567573531))","['888c10a0bbfffff', '888c10a0b5fffff', '888c10ae19fffff', '888c10a0dbfffff', '888c10a0a3fffff', '888c10a701fffff', '888c10a501fffff', '888c10a081fffff', '888c10ae47fffff', '888c10a0b3fffff', '888c10a0a7fffff', '888c10a55dfffff', '888c10a739fffff', '888c10a735fffff', '888c10a521fffff', '888c10a09dfffff', '888c10a08bfffff', '888c10a089fffff', '888c10a54dfffff', '888c10a507fffff', '888c10ae4dfffff', '888c10a721fffff', '888c10a0d1fffff', '888c10a46dfffff', '888c10a56dfffff', '888c10a767fffff', '888c10a723fffff', '888c10a569fffff', '888c10a763fffff', '888c10a0d3fffff', '888c10a761fffff', '888c10a52dfffff', '888c10a737fffff', '888c10a545fffff', '888c10a0d7fffff', '888c10a085fffff', '888c10a70dfffff', '888c10a555fffff', '888c10a097fffff', '888c10a541fffff', '888c10a0a1fffff', '888c10a0bdfffff', '888c10ae1bfffff', '888c10a765fffff', '888c10ae5dfffff', '888c10ae55fffff', '888c10ae43fffff', '888c10ae11fffff', '888c10a551fffff', '888c10a567fffff', '888c10ae53fffff', '888c10a0d5fffff', '888c10a529fffff', '888c10a727fffff', '888c10a087fffff', '888c10a76bfffff', '888c10ae1dfffff', '888c10a505fffff', '888c10a559fffff', '888c10ae41fffff', '888c10ae59fffff', '888c10ae49fffff', '888c10a717fffff', '888c10a0abfffff', '888c10a549fffff', '888c10a0c3fffff', '888c10ae5bfffff', '888c10a099fffff', '888c10a0b1fffff', '888c10a50bfffff', '888c10a465fffff', '888c10a707fffff', '888c10a72dfffff', '888c10ae09fffff', '888c10a729fffff', '888c10a093fffff', '888c10a0b9fffff', '888c10a73bfffff', '888c10a563fffff', '888c10ae57fffff', '888c10ae4bfffff', '888c10a56bfffff', '888c10a715fffff', '888c10ae13fffff', '888c10a725fffff', '888c10a769fffff', '888c10a73dfffff', '888c10a72bfffff', '888c10ae45fffff', '888c10a733fffff', '888c10a19bfffff', '888c10a083fffff', '888c10a509fffff', '888c10a731fffff', '888c10ae0bfffff', '888c10a561fffff', '888c10a091fffff', '888c10a705fffff', '888c10a565fffff', '888c10a547fffff', '888c10a095fffff', '888c10a525fffff', '888c10a543fffff', '888c10a76dfffff', '888c10a09bfffff', '888c10a193fffff', '888c10a0b7fffff', '888c10a703fffff', '888c10ae51fffff', '888c10a54bfffff', '888c10a50dfffff']"
Tanjung Emas,Jawa Tengah,PU,"POLYGON ((-6.908339300140732 110.45599096110017, -6.97227849981013 110.45599527841942, -6.97227849981013 110.39200472158059, -6.908339300140732 110.39200903889984, -6.908339300140732 110.45599096110017))","['888d8eb4d5fffff', '888d8c692bfffff', '888d8c6965fffff', '888d8c696bfffff', '888d8ea609fffff', '888d8eb495fffff', '888d8ea647fffff', '888d8ea641fffff', '888d8c6945fffff', '888d8eb4c3fffff', '888d8c6929fffff', '888d8c6961fffff', '888d8ea653fffff', '888d8ea613fffff', '888d8ea65dfffff', '888d8c6909fffff', '888d8eb49bfffff', '888d8eb497fffff', '888d8eb487fffff', '888d8eb4bbfffff', '888d8ea655fffff', '888d8c6969fffff', '888d8ea60bfffff', '888d8ea649fffff', '888d8eb4b1fffff', '888d8eb593fffff', '888d8eb4b3fffff', '888d8ea611fffff', '888d8c6943fffff', '888d8c6947fffff', '888d8eb4b9fffff', '888d8c6921fffff', '888d8c695dfffff', '888d8ea643fffff', '888d8ea619fffff', '888d8eb483fffff', '888d8eb489fffff', '888d8eb4b7fffff', '888d8eb491fffff', '888d8ea645fffff', '888d8ea657fffff', '888d8eb4abfffff', '888d8ea61bfffff', '888d8eb48bfffff', '888d8ea651fffff', '888d8eb49dfffff', '888d8c6963fffff', '888d8c696dfffff', '888d8c6905fffff', '888d8ea64bfffff', '888d8eb4a7fffff', '888d8eb485fffff', '888d8eb4a1fffff', '888d8eb4b5fffff', '888d8c6967fffff', '888d8eb4d7fffff', '888d8c694dfffff', '888d8c690dfffff', '888d8ea65bfffff', '888d8c6941fffff', '888d8ea61dfffff', '888d8eb493fffff', '888d8eb499fffff', '888d8eb481fffff', '888d8c692dfffff', '888d8ea659fffff', '888d8c6925fffff', '888d8c694bfffff', '888d8eb4a3fffff', '888d8c6927fffff', '888d8ea64dfffff', '888d8eb4bdfffff']"
Kendal,Jawa Tengah,PR,"POLYGON ((-6.88599927372869 110.319589462257, -6.949938533366468 110.31959376534192, -6.949938533366468 110.25560623465807, -6.88599927372869 110.255610537743, -6.88599927372869 110.319589462257))","['888d88d06dfffff', '888d8c69bbfffff', '888d88d301fffff', '888d88d069fffff', '888d88d205fffff', '888d88d315fffff', '888d88d305fffff', '888d88d26dfffff', '888d88d041fffff', '888d88d009fffff', '888d8c69b3fffff', '888d88d265fffff', '888d88d303fffff', '888d88d355fffff', '888d88d343fffff', '888d88d35dfffff', '888d88d061fffff', '888d88d31bfffff', '888d88d357fffff', '888d8c69b7fffff', '888d88d045fffff', '888d88d20dfffff', '888d88d309fffff', '888d88d04dfffff', '888d88d223fffff', '888d88d063fffff', '888d8c6997fffff', '888d88d261fffff', '888d88d23dfffff', '888d88d317fffff', '888d88d269fffff', '888d88d35bfffff', '888d88d33bfffff', '888d88d207fffff', '888d88d237fffff', '888d88d04bfffff', '888d88d203fffff', '888d88d201fffff', '888d88d267fffff', '888d88d351fffff', '888d88d307fffff', '888d88d239fffff', '888d8c69b1fffff', '888d88d313fffff', '888d88d22dfffff', '888d88d215fffff', '888d88d049fffff', '888d88d26bfffff', '888d88d22bfffff', '888d88d30dfffff', '888d88d227fffff', '888d88d005fffff', '888d88d23bfffff', '888d88d311fffff', '888d88d047fffff', '888d88d263fffff', '888d88d339fffff', '888d88d229fffff', '888d88d00dfffff', '888d88d235fffff', '888d88d06bfffff', '888d88d225fffff', '888d8c6995fffff', '888d88d31dfffff', '888d88d353fffff', '888d88d221fffff', '888d88d319fffff', '888d88d043fffff', '888d88d30bfffff', '888d88d231fffff', '888d88d359fffff']"
Moor,Papua,PL,"POLYGON ((-6.878309264658842 139.25218894746732, -6.94224854489542 139.2521932456532, -6.94224854489542 139.18820675434682, -6.878309264658842 139.1882110525327, -6.878309264658842 139.25218894746732))","['889cd88535fffff', '889cd88533fffff', '889cd88567fffff', '889cd885e9fffff', '889cd88517fffff', '889cd88529fffff', '889cd88ecbfffff', '889cd8850dfffff', '889cd88513fffff', '889cd88eddfffff', '889cd88527fffff', '889cd88425fffff', '889cd88521fffff', '889cd885cdfffff', '889cd88e19fffff', '889cd8852bfffff', '889cd8852dfffff', '889cd88519fffff', '889cd8851dfffff', '889cd88427fffff', '889cd88edbfffff', '889cd885e5fffff', '889cd8855dfffff', '889cd88555fffff', '889cd8842dfffff', '889cd88507fffff', '889cd88525fffff', '889cd88523fffff', '889cd88541fffff', '889cd88511fffff', '889cd8856bfffff', '889cd88553fffff', '889cd88549fffff', '889cd88563fffff', '889cd88421fffff', '889cd88503fffff', '889cd885edfffff', '889cd88e1bfffff', '889cd88ed1fffff', '889cd88ed9fffff', '889cd88557fffff', '889cd88547fffff', '889cd88551fffff', '889cd8853bfffff', '889cd88ec9fffff', '889cd88505fffff', '889cd8851bfffff', '889cd88501fffff', '889cd88539fffff', '889cd8853dfffff', '889cd88509fffff', '889cd8850bfffff', '889cd88515fffff', '889cd88e53fffff', '889cd88531fffff', '889cd88545fffff', '889cd88543fffff', '889cd885e1fffff', '889cd88537fffff', '889cd8854bfffff']"
Pasean,Jawa Timur,PL,"POLYGON ((-6.85340923536776 113.65518728463515, -6.91734858214853 113.65519156696065, -6.91734858214853 113.59120843303934, -6.85340923536776 113.59121271536485, -6.85340923536776 113.65518728463515))","['888d868e11fffff', '888d868e01fffff', '888d868e29fffff', '888d868521fffff', '888d868e59fffff', '888d868e49fffff', '888d868e31fffff', '888d868ec9fffff', '888d868e55fffff', '888d868e41fffff', '888d868e47fffff', '888d868e19fffff', '888d868e03fffff', '888d868ee5fffff', '888d8680b7fffff', '888d868e25fffff', '888d868e6bfffff', '888d868c49fffff', '888d868e67fffff', '888d868ea5fffff', '888d868c4bfffff', '888d868e1bfffff', '888d868e15fffff', '888d868e0bfffff', '888d868ec7fffff', '888d868eebfffff', '888d868e63fffff', '888d868e1dfffff', '888d868ee3fffff', '888d868527fffff', '888d868e37fffff', '888d868e0dfffff', '888d868e4bfffff', '888d868e5dfffff', '888d868e5bfffff', '888d868ee1fffff', '888d868e13fffff', '888d868e27fffff', '888d868523fffff', '888d868c51fffff', '888d868535fffff', '888d8680b5fffff', '888d868eedfffff', '888d868e23fffff', '888d868e21fffff', '888d868e53fffff', '888d868e39fffff', '888d868e17fffff', '888d868e57fffff', '888d868e45fffff', '888d868ee9fffff', '888d868c5dfffff', '888d868ee7fffff', '888d868525fffff', '888d868e33fffff', '888d868e3bfffff', '888d868ec1fffff', '888d868ecdfffff', '888d868e35fffff', '888d868eadfffff', '888d868e3dfffff', '888d868e2dfffff', '888d868e51fffff', '888d86852dfffff', '888d868e05fffff', '888d868e09fffff', '888d868e07fffff', '888d868c53fffff', '888d868e2bfffff', '888d868ec5fffff', '888d868e43fffff', '888d868c59fffff', '888d868c5bfffff']"
Telaga Biru,Jawa Timur,PR,"POLYGON ((-6.853099235003832 113.11758726397214, -6.917038582611578 113.11759154610023, -6.917038582611578 113.05360845389977, -6.853099235003832 113.05361273602786, -6.853099235003832 113.11758726397214))","['888d80db13fffff', '888d80daebfffff', '888d80da29fffff', '888d80d841fffff', '888d80d847fffff', '888d80da2bfffff', '888d80da23fffff', '888d80d839fffff', '888d80da63fffff', '888d80d81dfffff', '888d80d809fffff', '888d80dae9fffff', '888d80da01fffff', '888d80d86dfffff', '888d80db17fffff', '888d80d863fffff', '888d80d815fffff', '888d80d869fffff', '888d80dae3fffff', '888d80d817fffff', '888d80da07fffff', '888d80d805fffff', '888d80da33fffff', '888d80d843fffff', '888d80da3dfffff', '888d80db3bfffff', '888d80d861fffff', '888d80d807fffff', '888d80daadfffff', '888d80d853fffff', '888d80d803fffff', '888d80d859fffff', '888d80d86bfffff', '888d80d855fffff', '888d80da35fffff', '888d80da0dfffff', '888d80da37fffff', '888d80d84bfffff', '888d80d85bfffff', '888d80d811fffff', '888d80daa5fffff', '888d80daa9fffff', '888d80dae5fffff', '888d80d849fffff', '888d80d80bfffff', '888d80da39fffff', '888d80db1bfffff', '888d80da27fffff', '888d80d801fffff', '888d80da2dfffff', '888d80da17fffff', '888d80d84dfffff', '888d80d83bfffff', '888d80db11fffff', '888d80db19fffff', '888d80d819fffff', '888d80d80dfffff', '888d80dae1fffff', '888d80da21fffff', '888d80da31fffff', '888d80daedfffff', '888d80da03fffff', '888d80d845fffff', '888d80d857fffff', '888d80da6bfffff', '888d80da15fffff', '888d80da05fffff', '888d80da3bfffff', '888d80d85dfffff', '888d80d851fffff', '888d80da25fffff', '888d80dae7fffff']"
Brondong,Jawa Timur,PR,"POLYGON ((-6.846139226837845 112.30038680030637, -6.9100785930029565 112.30039107800195, -6.9100785930029565 112.23640892199805, -6.846139226837845 112.23641319969363, -6.846139226837845 112.30038680030637))","['888d80385bfffff', '888d803ac7fffff', '888d803a33fffff', '888d803ae5fffff', '888d803a81fffff', '888d803aa9fffff', '888d80385dfffff', '888d803a1bfffff', '888d803abdfffff', '888d803aadfffff', '888d803a15fffff', '888d8031adfffff', '888d803a17fffff', '888d803859fffff', '888d803addfffff', '888d803843fffff', '888d803855fffff', '888d803ac9fffff', '888d803acdfffff', '888d803853fffff', '888d803a53fffff', '888d803ad3fffff', '888d803ad1fffff', '888d803abbfffff', '888d803aabfffff', '888d803a3bfffff', '888d803135fffff', '888d803857fffff', '888d803a8dfffff', '888d80381bfffff', '888d803ad7fffff', '888d803125fffff', '888d803ab5fffff', '888d803aa1fffff', '888d803851fffff', '888d803aa7fffff', '888d803ac3fffff', '888d803ac1fffff', '888d803a9dfffff', '888d803a89fffff', '888d8038cbfffff', '888d803ae3fffff', '888d803aa5fffff', '888d803ac5fffff', '888d803123fffff', '888d803ab1fffff', '888d803a91fffff', '888d803819fffff', '888d803a37fffff', '888d803ab9fffff', '888d803137fffff', '888d803aebfffff', '888d803ae7fffff', '888d803aedfffff', '888d803adbfffff', '888d803a95fffff', '888d803a85fffff', '888d803acbfffff', '888d803ad5fffff', '888d803ab7fffff', '888d803127fffff', '888d8038c9fffff', '888d803ae9fffff', '888d803ad9fffff', '888d803ae1fffff', '888d8038cdfffff', '888d803a11fffff', '888d803a19fffff', '888d803a99fffff', '888d8038ddfffff', '888d803a8bfffff', '888d803a87fffff', '888d803aa3fffff', '888d803a13fffff', '888d803a83fffff']"
Batang and Pekalongan and Pemalang,"Jawa Tengah, Jawa Tengah, Jawa Tengah","PR, PL, PL","POLYGON ((-6.826119203400045 109.72418546929072, -6.826119203400045 109.66021453070928, -6.890058622841624 109.66021026576176, -6.890058622841624 109.66071026512981, -6.892108619789727 109.66071012834712, -6.892108619789727 109.71701012436304, -6.909168594360916 109.71700898316486, -6.909168594360916 109.78099101683513, -6.8452292257708445 109.78098673971907, -6.8452292257708445 109.72468674370202, -6.828169205796533 109.72468560540011, -6.828169205796533 109.72418560603191, -6.826119203400045 109.72418546929072))","['888d881507fffff', '888d8810b7fffff', '888d880299fffff', '888d8815a1fffff', '888d8810bbfffff', '888d881511fffff', '888d8802c7fffff', '888d8815c5fffff', '888d88025dfffff', '888d881519fffff', '888d881545fffff', '888d88152dfffff', '888d881501fffff', '888d881517fffff', '888d881537fffff', '888d881505fffff', '888d8810b3fffff', '888d8815e9fffff', '888d8815cbfffff', '888d880747fffff', '888d8802dbfffff', '888d88152bfffff', '888d88172dfffff', '888d881557fffff', '888d8815cdfffff', '888d880749fffff', '888d881721fffff', '888d8810b1fffff', '888d881547fffff', '888d881467fffff', '888d881531fffff', '888d88029dfffff', '888d8815d7fffff', '888d881559fffff', '888d881555fffff', '888d880289fffff', '888d8815d1fffff', '888d8802c3fffff', '888d88154bfffff', '888d8815e7fffff', '888d8815d3fffff', '888d881553fffff', '888d881543fffff', '888d8802d1fffff', '888d88158dfffff', '888d881567fffff', '888d881095fffff', '888d880741fffff', '888d881091fffff', '888d881581fffff', '888d8815edfffff', '888d8815a5fffff', '888d881093fffff', '888d8815c7fffff', '888d881535fffff', '888d881727fffff', '888d881509fffff', '888d88028bfffff', '888d881729fffff', '888d88154dfffff', '888d881523fffff', '888d881539fffff', '888d881583fffff', '888d88151dfffff', '888d88151bfffff', '888d8815a7fffff', '888d8802d3fffff', '888d881541fffff', '888d880745fffff', '888d88158bfffff', '888d8815adfffff', '888d8815ddfffff', '888d88029bfffff', '888d88109bfffff', '888d8802cbfffff', '888d88109dfffff', '888d8815c1fffff', '888d881551fffff', '888d88173dfffff', '888d881533fffff', '888d880259fffff', '888d8815b1fffff', '888d881513fffff', '888d88150bfffff', '888d88155bfffff', '888d881725fffff', '888d880251fffff', '888d88024bfffff', '888d88150dfffff', '888d881465fffff', '888d881731fffff', '888d88159dfffff', '888d88172bfffff', '888d880291fffff', '888d881561fffff', '888d8815e1fffff', '888d88153dfffff', '888d88025bfffff', '888d881515fffff', '888d881097fffff', '888d88155dfffff', '888d8815e5fffff', '888d881723fffff', '888d881529fffff', '888d881733fffff', '888d881503fffff', '888d8815abfffff', '888d88156bfffff', '888d881587fffff', '888d8815c9fffff', '888d8815ebfffff', '888d8815bdfffff', '888d88074dfffff', '888d8802d5fffff', '888d881735fffff', '888d8802d9fffff', '888d881737fffff', '888d881585fffff', '888d8802ddfffff', '888d8815b5fffff', '888d881521fffff', '888d881569fffff', '888d881099fffff', '888d8815d5fffff', '888d880743fffff', '888d88074bfffff', '888d8802d7fffff', '888d8815a9fffff', '888d880293fffff', '888d881549fffff', '888d881589fffff', '888d881565fffff', '888d88153bfffff', '888d88156dfffff', '888d881595fffff', '888d881563fffff', '888d8815c3fffff', '888d8810d3fffff', '888d8815a3fffff', '888d8815e3fffff', '888d8815b9fffff']"
Brebes,Jawa Tengah,PL,"POLYGON ((-6.8418792218442235 108.95198651674897, -6.905818599358641 108.9519907917317, -6.905818599358641 108.8880092082683, -6.8418792218442235 108.88801348325103, -6.8418792218442235 108.95198651674897))","['888d895443fffff', '888d895627fffff', '888d895469fffff', '888d895545fffff', '888d895559fffff', '888d895425fffff', '888d895429fffff', '888d895757fffff', '888d895719fffff', '888d89540dfffff', '888d89542bfffff', '888d895727fffff', '888d89572bfffff', '888d895405fffff', '888d895755fffff', '888d895713fffff', '888d89554dfffff', '888d895733fffff', '888d895441fffff', '888d89555dfffff', '888d895715fffff', '888d895703fffff', '888d895449fffff', '888d895551fffff', '888d895547fffff', '888d89551bfffff', '888d895467fffff', '888d895447fffff', '888d895093fffff', '888d895709fffff', '888d89554bfffff', '888d89542dfffff', '888d895543fffff', '888d895553fffff', '888d89545dfffff', '888d895519fffff', '888d895701fffff', '888d89570bfffff', '888d89546dfffff', '888d895705fffff', '888d895555fffff', '888d89555bfffff', '888d895509fffff', '888d895445fffff', '888d8955cdfffff', '888d895463fffff', '888d895557fffff', '888d895409fffff', '888d895465fffff', '888d895461fffff', '888d895421fffff', '888d89544bfffff', '888d895541fffff', '888d89573bfffff', '888d895427fffff', '888d895549fffff', '888d89573dfffff', '888d895737fffff', '888d89544dfffff', '888d895739fffff', '888d89550bfffff', '888d895735fffff', '888d895401fffff', '888d895731fffff', '888d895707fffff', '888d89546bfffff', '888d89571dfffff', '888d895711fffff', '888d895717fffff', '888d895723fffff', '888d89571bfffff']"
